ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742126::Name
"1075838979::242","CUSTOMER",Table,"CUSTOMER"
"1075838979::262","CUSTOMER CREDIT",Table,"CUSTOMER CREDIT"
"1075838979::139","EMPLOYEE",Table,"EMPLOYEE"
"1075838979::141","MOVIE",Table,"MOVIE"
"1075838979::160","MOVIE COPY",Table,"MOVIE COPY"
"1075838979::158","MOVIE RENTAL RECORD",Table,"MOVIE RENTAL RECORD"
"1075838979::326","MOVIE_STORE",Table,"MOVIE_STORE"
"1075838979::338","PAYMENT",Table,"PAYMENT"
"1075838979::143","STORE",Table,"STORE"
